SampleID,S.Name,Study_group,PigID,Group,Cohort,Gender,Age_days,Age_week,Housing_facility,Housing_facility1,Sampling,sampling1,TimePre_PosPart,pre_post_delivery,plain_mac,mac+tet,mac+cef,mac+gen,mac+sulfa,mac+amp,mac+strep,mac+azthr,mac+chl,plain_Ent,Ent+tet,Ent+nal,Ent+gen,ENT+tylo,Ent+ery,Ent+linco,Ent+len,Ent+nitrof,Ent+pen,Ent+strep,log10 16s,log10tetAcopies/gram,log10ctxmcopies/gram1+1,Raw_ASVcount,RawInput,From_Cutadapt,Dada2filtered,percentage_inputpassedfilter,denoised,merged,percentage of input merged,non-chimeric,percentage of input non-chimeric,Length_filtered_Counts,input_newdada2,filtered_newdada2,denoisedF_newdada2,denoisedR_newdada2,merged_newdada2,nonchim_newdada2,%retained_newdada2,S.Name.DMM,assignment_all_dmm_sow,assignment_all_dmm_sow_rearrange
VV125.E5,VV125,Breeder_sows,363,363.T7,2,F,343,49,Breeding barn,Breeding,1 week prior to moving to farrowing house – Parity 1 ,Breeding_Gestation,-1,,6.65,5.71,0,4.71,5.34,4.65,5.01,5.3,0,6.46,5.17,4.28,0,3.51,0,3.81,0,4.11,0,0,9.66,5.2,5.38,99409,170028,159293,149301,93.73,146294,129413,81.24,99418,62.41,99409,170028,157368,153675,151151,128955,105780,0.622132825,VV125,1,4
VV126.E6,VV126,Breeder_sows,366,366.T7,2,F,343,49,Breeding barn,Breeding,1 week prior to moving to farrowing house – Parity 1 ,Breeding_Gestation,-1,,6.69,5.68,0,4.11,4.83,5.39,5.22,5.22,4.11,6.52,5.35,0,0,0,0,0,0,0,0,0,9.92,5.19,5.9,109456,177098,162649,151644,93.23,149305,134908,82.94,109458,67.3,109456,177098,162012,158745,157331,138504,117794,0.665134558,VV126,3,3
VV127.E7,VV127,Breeder_sows,369,369.T7,2,F,343,49,Breeding barn,Breeding,1 week prior to moving to farrowing house – Parity 1 ,Breeding_Gestation,-1,,6.71,5.73,4.51,0,4.71,5.11,4.62,4.68,0,6.66,5.17,3.81,0,3.98,4.11,4.2,0,0,4.28,0,10.34,5.5,5.89,109991,180053,166305,155410,93.45,152235,135411,81.42,110005,66.15,109991,180053,165384,161679,159711,137941,118098,0.655906872,VV127,1,4
VV128.E8,VV128,Breeder_sows,379,379.T7,2,F,343,49,Breeding barn,Breeding,1 week prior to moving to farrowing house – Parity 1 ,Breeding_Gestation,-1,,6.78,5.75,3.81,0,5.2,5,5.05,0,0,6.5,4.7,3.81,4.11,0,3.81,0,0,0,4.11,0,10.46,5.33,5.63,94423,145794,135981,128210,94.29,125923,113625,83.56,94428,69.44,94423,145794,135503,132724,131310,115889,101105,0.69347847,VV128,1,4
VV129.E9,VV129,Breeder_sows,292,292.T8,1,F,350,50,Farrowing barn,Farrowing,On the day of parturition – Parity 1 ,Parturition,0,,6.76,5.65,5.47,4.74,5.2,5.45,5.32,3.6,4.2,6.63,6.01,4.64,4.35,3.94,4.16,4.02,0,4.02,3.98,0,9.7,5.38,5.75,98719,160527,148775,139224,93.58,136668,122671,82.45,98727,66.36,98719,160527,148185,145143,143202,124308,106087,0.660867019,VV129,1,4
VV130.E10,VV130,Breeder_sows,296,296.T8,1,F,350,50,Farrowing barn,Farrowing,On the day of parturition – Parity 1 ,Parturition,0,,6.74,5.53,4.55,4.41,4.94,5.52,5.14,3.68,4.05,6.44,6.28,4.72,4.41,4.35,4.33,4.16,0,3.98,0,0,10.41,5.74,5.66,95141,142549,134302,125940,93.77,124091,113725,84.68,95145,70.84,95141,142549,131813,129388,127957,114525,100471,0.704817291,VV130,3,3
VV131.E11,VV131,Breeder_sows,389,389.T8,1,F,350,50,Farrowing barn,Farrowing,On the day of parturition – Parity 1 ,Parturition,0,,6.69,5.76,5.58,0,5.05,5.2,4.87,4.25,3.81,6.41,6.1,4.74,0,3.6,4.16,4.13,0,0,0,0,9.85,5.84,1,86342,140201,129945,121781,93.72,119548,104854,80.69,86348,66.45,86342,140201,129858,126975,124792,107163,93480,0.666757013,VV131,1,4
VV132.E12,VV132,Breeder_sows,391,391.T8,1,F,350,50,Farrowing barn,Farrowing,On the day of parturition – Parity 1 ,Parturition,0,,6.89,5.66,5.64,4.35,5.11,5.49,5.05,4.2,0,6.59,6.26,4.72,4.35,4.26,4.39,4.54,0,0,0,0,9.44,5.28,5.46,99461,158559,147513,138314,93.76,135747,119313,80.88,99465,67.43,99461,158559,146709,143328,141159,121119,106897,0.674178066,VV132,1,4
VV133.F1,VV133,Breeder_sows,363,363.T8,2,F,350,50,Farrowing barn,Farrowing,On the day of parturition – Parity 1 ,Parturition,0,,6.87,5.8,0,4.46,4.58,4.2,5.17,4.55,0,6.32,5.98,5.3,4.46,4.55,4.51,4.46,0,4.51,0,0,9.67,5.37,5.97,87241,143601,130753,122220,93.47,119253,104328,79.79,87244,66.72,87241,143601,130898,127424,125356,107003,94713,0.659556688,VV133,1,4
VV134.F2,VV134,Breeder_sows,366,366.T8,2,F,350,50,Farrowing barn,Farrowing,On the day of parturition – Parity 1 ,Parturition,0,,6.86,5.81,0,3.81,4.2,0,5.22,3.81,0,6.47,5.63,4.2,3.81,4.2,4.58,4.2,0,3.81,0,0,9.91,5.48,6.34,82597,141990,131039,122897,93.79,119828,103547,79.02,82599,63.03,82597,141990,130982,127324,125230,104468,89524,0.630495105,VV134,1,4
VV135.F3,VV135,Breeder_sows,369,369.T8,2,F,350,50,Farrowing barn,Farrowing,On the day of parturition – Parity 1 ,Parturition,0,,6.66,5.71,4.2,3.51,0,0,0,4.11,4.51,6.47,5.44,4.28,0,3.81,3.98,4.11,0,4.46,0,0,10.34,5.61,5.4,88558,143913,132832,124778,93.94,121968,107636,81.03,88567,66.68,88558,143913,132510,129152,126940,108578,95292,0.662150049,VV135,1,4
VV136.F4,VV136,Breeder_sows,379,379.T8,2,F,350,50,Farrowing barn,Farrowing,On the day of parturition – Parity 1 ,Parturition,0,,6.67,5.75,4.2,0,5.58,5.57,5.25,5.18,0,6.63,6.18,5.25,0,3.81,3.98,0,0,0,0,0,10.46,5.75,5.84,87407,146094,134170,126230,94.08,123571,108051,80.53,87411,65.15,87407,146094,134928,131454,128820,109327,94388,0.646077183,VV136,1,4
VV137.F5,VV137,Breeder_sows,292,292.T9,1,F,371,53,Farrowing barn,Farrowing,On the day finishing weaning/separation from litter  – Parity 1 ,Postpartum,3,,6.81,6.18,0,0,0,4.52,0,4.51,0,5.85,0,0,0,0,3.38,4.75,0,4.37,0,4.16,9.17,6.82,5.91,90280,147395,135004,126678,93.83,124450,112911,83.64,90282,66.87,90280,147395,135043,132097,130474,115191,97420,0.66094508,VV137,1,4
VV138.F6,VV138,Breeder_sows,296,296.T9,1,F,371,53,Farrowing barn,Farrowing,On the day finishing weaning/separation from litter  – Parity 1 ,Postpartum,3,,6.65,5.54,3.2,0,0,4.6,0,0,4.6,5.84,3.79,3.51,0,0,0,4.94,0,0,0,3.2,9.64,6.91,6.03,100618,169281,154001,144652,93.93,142097,128342,83.34,100622,65.34,100618,169281,155246,151954,150096,131886,109368,0.646073688,VV138,1,4
VV139.F7,VV139,Breeder_sows,389,389.T9,1,F,371,53,Farrowing barn,Farrowing,On the day finishing weaning/separation from litter  – Parity 1 ,Postpartum,3,,6.63,6.47,4.56,3.9,4.46,4.35,0,4.46,4.46,5.88,5.26,4.08,0,0,0,4.86,0,3.9,0,3.86,10.16,5.8,5.63,99970,165092,151474,140935,93.04,138531,125111,82.6,99978,66,99970,165092,150426,147264,145372,127188,108038,0.654410874,VV139,3,3
VV140.F8,VV140,Breeder_sows,391,391.T9,1,F,371,53,Farrowing barn,Farrowing,On the day finishing weaning/separation from litter  – Parity 1 ,Postpartum,3,,6.83,6.54,0,0,4.41,4.48,0,4.66,4.53,6.21,5.77,4.45,0,0,0,4.58,0,0,0,4.02,9.76,5.21,5.43,96548,149635,136858,128593,93.96,126533,115572,84.45,96552,70.55,96548,149635,137323,134789,133148,119033,104236,0.696601731,VV140,3,3
VV141.F9,VV141,Breeder_sows,363,363.T9,2,F,371,53,Farrowing barn,Farrowing,On the day finishing weaning/separation from litter  – Parity 1 ,Postpartum,3,,6.94,6.32,3.51,0,4.11,4.58,0,4.48,0,6.34,6.06,0,0,5.2,4.82,4.41,0,0,0,0,10.11,5.22,5.97,99124,162322,147627,138116,93.56,135173,119109,80.68,99133,67.15,99124,162322,148311,144649,142091,121991,108081,0.665843201,VV141,1,4
VV142.F10,VV142,Breeder_sows,366,366.T9,2,F,371,53,Farrowing barn,Farrowing,On the day finishing weaning/separation from litter  – Parity 1 ,Postpartum,3,,6.91,6.4,3.51,0,4.2,4.41,0,4.28,0,6.27,6.05,0,0,4.69,4.8,4.35,0,3.6,0,4.28,9.88,5.46,5.66,82419,134822,122897,115324,93.84,112883,98334,80.01,82431,67.07,82419,134822,124314,121318,119000,101303,90306,0.669816499,VV142,1,4
VV143.F11,VV143,Breeder_sows,369,369.T9,2,F,371,53,Farrowing barn,Farrowing,On the day finishing weaning/separation from litter  – Parity 1 ,Postpartum,3,,6.89,6.7,4.75,0,4.25,4.16,0,4.52,4.33,6.08,5.79,4.47,0,4.72,4.64,4.52,0,0,0,0,10.33,5.15,5.93,84845,130335,119483,112058,93.79,110140,98431,82.38,84845,71.01,84845,130335,120035,117466,115644,101567,91707,0.703625273,VV143,1,4
VV144.F12,VV144,Breeder_sows,379,379.T9,2,F,371,53,Farrowing barn,Farrowing,On the day finishing weaning/separation from litter  – Parity 1 ,Postpartum,3,,6.72,6.42,4.33,0,3.9,4.13,0,3.98,4.35,5.47,5.7,4.23,0,4.38,4.51,4.67,0,3.86,0,0,10.33,5.38,5.94,90257,151880,138022,129385,93.74,126499,110031,79.72,90269,65.4,90257,151880,139766,136376,133509,113621,99241,0.653417171,VV144,1,4
