SampleID,S.Name,Study_group,PigID,Group,Cohort,Gender,Age_days,Age_week,Housing_facility,Housing_facility1,Sampling,sampling1,TimePre_PosPart,pre_post_delivery,plain_mac,mac+tet,mac+cef,mac+gen,mac+sulfa,mac+amp,mac+strep,mac+azthr,mac+chl,plain_Ent,Ent+tet,Ent+nal,Ent+gen,ENT+tylo,Ent+ery,Ent+linco,Ent+len,Ent+nitrof,Ent+pen,Ent+strep,log10 16s,log10tetAcopies/gram,log10ctxmcopies/gram1+1,Raw_ASVcount,RawInput,From_Cutadapt,Dada2filtered,percentage_inputpassedfilter,denoised,merged,percentage of input merged,non-chimeric,percentage of input non-chimeric,Length_filtered_Counts,input_newdada2,filtered_newdada2,denoisedF_newdada2,denoisedR_newdada2,merged_newdada2,nonchim_newdada2,%retained_newdada2,S.Name.DMM,assignment_all_dmm_sow,assignment_all_dmm_sow_rearrange
VV083.A11,VV083,Breeder_sows,389,389.T2,1,F,42,6,Segregated Early Weaning (SEW) barn,First growing,3 weeks after entry ,Growing,-44,,6.44,4.92,5.22,5.4,5.3,5.32,5.21,4.46,4.73,6.5,6.4,4.88,3.81,4.8,4.7,4.74,0,3.2,3.98,0,11.11,6.9,5.79,103357,163031,152932,143650,93.93,141358,127117,83.12,103357,67.58,103357,163031,151061,148166,146660,127285,109346,0.670706798,VV083,2,2
VV084.A12,VV084,Breeder_sows,391,391.T2,1,F,42,6,Segregated Early Weaning (SEW) barn,First growing,3 weeks after entry ,Growing,-44,,6.62,5.57,4.85,5.33,5.29,5.12,5.21,4.39,4.48,6.36,6.19,4.81,4.11,4.16,4.08,4.42,0,0,3.98,4.78,10.97,6.97,5.65,96913,148294,136227,127198,93.37,125413,113392,83.24,96920,71.15,96913,148294,136660,134436,132882,117515,103864,0.700392464,VV084,2,2
VV085.B1,VV085,Breeder_sows,363,363.T2,2,F,42,6,Segregated Early Weaning (SEW) barn,First growing,3 weeks after entry ,Growing,-44,,6.61,5.43,4.28,0,4.46,5.32,3.81,4.11,0,6.36,6.11,5.04,0,0,0,0,0,4.11,3.81,0,10.89,8.4,5.97,74917,118474,111394,104823,94.1,102893,90875,81.58,74923,67.26,74917,118474,110251,107701,106278,91017,80022,0.675439337,VV085,2,2
VV086.B2,VV086,Breeder_sows,366,366.T2,2,F,42,6,Segregated Early Weaning (SEW) barn,First growing,3 weeks after entry ,Growing,-44,,6.65,5.63,4.58,4.55,4.71,5.36,4.2,3.81,4.28,6.14,6.15,5.28,4.46,0,3.51,0,0,3.81,0,4.55,10.79,7.06,1,114944,184222,172635,160197,92.8,157750,144958,83.97,114951,66.59,114944,184222,168940,165705,164434,145388,122224,0.66346039,VV086,2,2
VV087.B3,VV087,Breeder_sows,369,369.T2,2,F,42,6,Segregated Early Weaning (SEW) barn,First growing,3 weeks after entry ,Growing,-44,,6.76,5.71,3.81,0,3.51,3.81,5.35,5.25,4.76,6.64,6.48,5.44,0,5.13,0,5.39,0,4.46,0,0,11.03,7.75,6.38,112180,166438,155605,145055,93.22,143228,132152,84.93,112184,72.1,112180,166438,153127,150644,149113,135061,119029,0.715155193,VV087,2,2
VV088.B4,VV088,Breeder_sows,379,379.T2,2,F,42,6,Segregated Early Weaning (SEW) barn,First growing,3 weeks after entry ,Growing,-44,,6.44,5.56,4.51,4.55,0,5.21,5.53,4.28,5.01,6.55,5.35,4.2,3.81,3.98,3.81,3.81,0,0,0,4.71,10.95,6.15,5.99,102805,161940,152605,143227,93.85,140894,125786,82.43,102813,67.37,102805,161940,150144,147124,145297,125630,108829,0.672032852,VV088,2,2
VV089.B5,VV089,Breeder_sows,292,292.T3,1,F,70,10,Segregated Early Weaning (SEW) barn,First growing,1 day prior to moving to 2nd growing facility,Growing,-40,,6.35,0,0,4.51,5.35,4.76,5.41,4.61,3.51,6.33,6.17,4.66,4.46,3.2,4.18,4.61,0,3.94,4.71,4.28,10.49,5.51,5.71,101066,159394,144670,135313,93.53,133040,118910,82.19,101068,69.86,101066,159394,146935,144025,142099,125048,110846,0.695421409,VV089,3,3
VV090.B6,VV090,Breeder_sows,296,296.T3,1,F,70,10,Segregated Early Weaning (SEW) barn,First growing,1 day prior to moving to 2nd growing facility,Growing,-40,,6.65,3.98,3.81,5.44,5.26,5.22,5.21,4.26,3.94,6.4,6.19,4.72,3.81,3.9,0,4.28,0,0,0,0,10.34,5.38,1,109140,172962,161449,150702,93.34,148166,133557,82.72,109140,67.6,109140,172962,158812,155420,153703,134532,116415,0.673066916,VV090,2,2
VV091.B7,VV091,Breeder_sows,389,389.T3,1,F,70,10,Segregated Early Weaning (SEW) barn,First growing,1 day prior to moving to 2nd growing facility,Growing,-40,,6.57,5.31,5.31,0,0,4.85,4.78,4.16,3.38,6.59,6.23,4.58,0,3.81,3.38,0,0,3.75,3.98,4.11,9.24,5.02,1,95606,159957,150049,139641,93.06,137358,123433,82.26,95612,63.72,95606,159957,147484,144679,142671,123467,100592,0.628869009,VV091,2,2
VV092.B8,VV092,Breeder_sows,391,391.T3,1,F,70,10,Segregated Early Weaning (SEW) barn,First growing,1 day prior to moving to 2nd growing facility,Growing,-40,,6.36,5.14,4.89,4.78,5.38,3.98,5.37,3.86,3.6,6.58,6.14,4.11,3.98,3.2,3.51,0,0,3.9,4.46,3.81,10.31,5.29,5.6,107575,173189,162629,151989,93.46,149498,135343,83.22,107584,66.15,107575,173189,159450,156484,154421,134954,114314,0.660053468,VV092,2,2
