pigID,pigID_blind,age_days,age_days_edit,age_week,gender_cohort,Study_group,housing,sampling,biome_study,variableid,group,variable,amr_biome,indices,value,animal_prev,amr_prev
365,,42,42,6,2,Breeder_sows,Segregated Early Weaning (SEW) barn,3 weeks after entry ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.775445357,1,1
372,,42,42,6,2,Breeder_sows,Segregated Early Weaning (SEW) barn,3 weeks after entry ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.886595809,1,1
362,,42,42,6,2,Breeder_sows,Segregated Early Weaning (SEW) barn,3 weeks after entry ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.683035845,1,1
367,,42,42,6,2,Breeder_sows,Segregated Early Weaning (SEW) barn,3 weeks after entry ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.696264111,1,1
373,,42,42,6,2,Breeder_sows,Segregated Early Weaning (SEW) barn,3 weeks after entry ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.721569976,1,1
368,,42,42,6,2,Breeder_sows,Segregated Early Weaning (SEW) barn,3 weeks after entry ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.886595809,1,1
292,1,70,70,10,1,Breeder_sows,Segregated Early Weaning (SEW) barn,1 day prior to moving to 2nd growing facility,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.354275508,1,1
296,2,70,70,10,1,Breeder_sows,Segregated Early Weaning (SEW) barn,1 day prior to moving to 2nd growing facility,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.65050662,1,1
389,7,70,70,10,1,Breeder_sows,Segregated Early Weaning (SEW) barn,1 day prior to moving to 2nd growing facility,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.574211063,1,1
391,8,70,70,10,1,Breeder_sows,Segregated Early Weaning (SEW) barn,1 day prior to moving to 2nd growing facility,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.359021943,1,1
388,,70,70,10,1,Breeder_sows,Segregated Early Weaning (SEW) barn,1 day prior to moving to 2nd growing facility,no,plain.mac,MAC,No drug,No drug,plain.mac,6.135596805,1,1
394,,70,70,10,1,Breeder_sows,Segregated Early Weaning (SEW) barn,1 day prior to moving to 2nd growing facility,no,plain.mac,MAC,No drug,No drug,plain.mac,6.685268727,1,1
363,3,70,70,10,2,Breeder_sows,Segregated Early Weaning (SEW) barn,1 day prior to moving to 2nd growing facility,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.655305503,1,1
366,4,70,70,10,2,Breeder_sows,Segregated Early Weaning (SEW) barn,1 day prior to moving to 2nd growing facility,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.588358714,1,1
369,5,70,70,10,2,Breeder_sows,Segregated Early Weaning (SEW) barn,1 day prior to moving to 2nd growing facility,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.630762562,1,1
379,6,70,70,10,2,Breeder_sows,Segregated Early Weaning (SEW) barn,1 day prior to moving to 2nd growing facility,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.60742172,1,1
361,,70,70,10,2,Breeder_sows,Segregated Early Weaning (SEW) barn,1 day prior to moving to 2nd growing facility,no,plain.mac,MAC,No drug,No drug,plain.mac,6.444452138,1,1
370,,70,70,10,2,Breeder_sows,Segregated Early Weaning (SEW) barn,1 day prior to moving to 2nd growing facility,no,plain.mac,MAC,No drug,No drug,plain.mac,6.481593946,1,1
365,,70,70,10,2,Breeder_sows,Segregated Early Weaning (SEW) barn,1 day prior to moving to 2nd growing facility,no,plain.mac,MAC,No drug,No drug,plain.mac,6.842392147,1,1
372,,70,70,10,2,Breeder_sows,Segregated Early Weaning (SEW) barn,1 day prior to moving to 2nd growing facility,no,plain.mac,MAC,No drug,No drug,plain.mac,6.875241058,1,1
362,,70,70,10,2,Breeder_sows,Segregated Early Weaning (SEW) barn,1 day prior to moving to 2nd growing facility,no,plain.mac,MAC,No drug,No drug,plain.mac,6.599354098,1,1
367,,70,70,10,2,Breeder_sows,Segregated Early Weaning (SEW) barn,1 day prior to moving to 2nd growing facility,no,plain.mac,MAC,No drug,No drug,plain.mac,6.900384094,1,1
373,,70,70,10,2,Breeder_sows,Segregated Early Weaning (SEW) barn,1 day prior to moving to 2nd growing facility,no,plain.mac,MAC,No drug,No drug,plain.mac,6.737656796,1,1
368,,70,70,10,2,Breeder_sows,Segregated Early Weaning (SEW) barn,1 day prior to moving to 2nd growing facility,no,plain.mac,MAC,No drug,No drug,plain.mac,6.499037836,1,1
292,1,84,84,12,1,Breeder_sows,Gestation barn,2 weeks after entry to 2nd growing facility,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.630762562,1,1
296,2,84,84,12,1,Breeder_sows,Gestation barn,2 weeks after entry to 2nd growing facility,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.71745341,1,1
389,7,84,84,12,1,Breeder_sows,Gestation barn,2 weeks after entry to 2nd growing facility,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.628230226,1,1
391,8,84,84,12,1,Breeder_sows,Gestation barn,2 weeks after entry to 2nd growing facility,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.733690609,1,1
388,,84,84,12,1,Breeder_sows,Gestation barn,2 weeks after entry to 2nd growing facility,no,plain.mac,MAC,No drug,No drug,plain.mac,6.481593946,1,1
394,,84,84,12,1,Breeder_sows,Gestation barn,2 weeks after entry to 2nd growing facility,no,plain.mac,MAC,No drug,No drug,plain.mac,6.719516571,1,1
363,3,84,84,12,2,Breeder_sows,Gestation barn,2 weeks after entry to 2nd growing facility,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.836143197,1,1
